episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/avProbe/cur_kl_coeff,info/learner/avProbe/cur_lr,info/learner/avProbe/total_loss,info/learner/avProbe/policy_loss,info/learner/avProbe/vf_loss,info/learner/avProbe/vf_explained_var,info/learner/avProbe/kl,info/learner/avProbe/entropy,info/learner/avProbe/entropy_coeff
nan,nan,nan,nan,0,4000,False,4000,0,1,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-14-47,1684527287,25.29116725921631,25.29116725921631,4122,HR1,10.49.0.104,25.29116725921631,4000,1,20,b815bb28,0,19968,4000,21198.689,73.998,3259.255,667.398,36.964864864864865,18.93513513513514,0.20000000298023224,4.999999873689376e-05,59949076.0,-0.00082644704,59949076.0,1.8128218e-05,0.00056516513,1.4173309,0.0
nan,nan,nan,nan,0,4000,False,8000,0,2,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-15-17,1684527317,29.579331159591675,54.87049841880798,4122,HR1,10.49.0.104,54.87049841880798,8000,2,20,b815bb28,0,39936,8000,23781.906,41.244,3213.534,338.24,38.74761904761905,19.180952380952384,0.10000000149011612,4.999999873689376e-05,145764380.0,-0.00022389587,145764380.0,2.0283536e-05,1.8707156e-05,1.4156922,0.0
nan,nan,nan,nan,0,4000,False,12000,0,3,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-15-57,1684527357,40.31339693069458,95.18389534950256,4122,HR1,10.49.0.104,95.18389534950256,12000,3,20,b815bb28,0,59904,12000,28292.481,29.948,3126.862,228.937,42.30689655172414,19.412068965517243,0.05000000074505806,4.999999873689376e-05,398592830.0,-0.00034268925,398592830.0,-4.7156445e-06,0.00023199222,1.4023187,0.0
nan,nan,nan,nan,0,4000,False,16000,0,4,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-16-46,1684527406,48.748021841049194,143.93191719055176,4122,HR1,10.49.0.104,143.93191719055176,16000,4,20,b815bb28,0,79616,16000,32675.819,24.588,3065.579,173.825,41.34202898550724,19.5,0.02500000037252903,4.999999873689376e-05,305170050.0,-4.6713787e-05,305170050.0,1.446535e-05,4.0994523e-06,1.3971608,0.0
-1108502.411477957,-2185251.7481666417,-1590631.0813494048,1000.0,20,4000,False,20000,20,5,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-17-44,1684527464,58.66744112968445,202.5993583202362,4122,HR1,10.49.0.104,202.5993583202362,20000,5,20,b815bb28,0,96128,20000,37380.335,20.729,2938.331,140.167,41.680952380952384,19.463095238095246,0.012500000186264515,4.999999873689376e-05,172318500.0,-2.3552902e-05,172318500.0,1.2469846e-05,9.519123e-05,1.4041637,0.0
-1108502.411477957,-2185251.7481666417,-1590631.0813494048,1000.0,0,4000,False,24000,20,6,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-18-02,1684527482,17.30397915840149,219.9033374786377,4122,HR1,10.49.0.104,219.9033374786377,24000,6,20,b815bb28,0,116096,24000,33509.718,18.486,2966.799,117.684,38.38,19.516,0.0062500000931322575,4.999999873689376e-05,66331492.0,-0.0013973034,66331492.0,0.00015984208,0.0013930908,1.3996744,0.0
-1108502.411477957,-2185251.7481666417,-1590631.0813494048,1000.0,0,4000,False,28000,20,7,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-18-31,1684527511,29.662055492401123,249.56539297103882,4122,HR1,10.49.0.104,249.56539297103882,28000,7,20,b815bb28,0,136064,28000,32466.475,17.094,3030.504,102.148,40.030952380952385,19.602380952380955,0.0031250000465661287,4.999999873689376e-05,199418660.0,7.7594166e-05,199418660.0,7.719375e-05,2.9245457e-05,1.3969073,0.0
-1108502.411477957,-2185251.7481666417,-1590631.0813494048,1000.0,0,4000,False,32000,20,8,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-19-11,1684527551,39.43863010406494,289.00402307510376,4122,HR1,10.49.0.104,289.00402307510376,32000,8,20,b815bb28,0,156032,32000,32949.013,15.858,3035.986,90.109,40.62321428571429,16.998214285714283,0.0015625000232830644,4.999999873689376e-05,376229400.0,-0.00030529423,376229400.0,-3.4066347e-06,0.0009695849,1.3675721,0.0
-1108502.411477957,-2185251.7481666417,-1590631.0813494048,1000.0,0,4000,False,36000,20,9,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-19-59,1684527599,48.21398997306824,337.218013048172,4122,HR1,10.49.0.104,337.218013048172,36000,9,20,b815bb28,0,174976,36000,34326.731,14.803,3011.828,80.818,41.35217391304347,16.568115942028978,0.0007812500116415322,4.999999873689376e-05,351085380.0,0.00016152028,351085380.0,3.8006016e-05,8.84671e-05,1.3669193,0.0
-1087719.132888852,-2185251.7481666417,-1533905.8547788835,1000.0,20,4000,False,40000,40,10,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-20-56,1684527656,56.99100875854492,394.2090218067169,4122,HR1,10.49.0.104,394.2090218067169,40000,10,20,b815bb28,0,185728,40000,36410.07,13.926,2889.461,73.631,43.07901234567901,16.65555555555556,0.0003906250058207661,4.999999873689376e-05,105337130.0,-0.0015661035,105337130.0,5.7410627e-05,0.0006429513,1.3454107,0.0
-1087719.132888852,-2185251.7481666417,-1533905.8547788835,1000.0,0,4000,False,44000,40,11,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-21-14,1684527674,17.45500159263611,411.664023399353,4122,HR1,10.49.0.104,411.664023399353,44000,11,20,b815bb28,0,205696,44000,35728.935,7.442,2866.125,7.603,40.328,16.808,0.00019531250291038305,4.999999873689376e-05,44025900.0,-0.0019529507,44025900.0,0.000535806,0.0029932528,1.3255241,0.0
-602794.2752686357,-2185251.7481666417,-1511195.8162542433,984.9512195121952,1,4000,False,48000,41,12,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-21-45,1684527705,31.393844604492188,443.0578680038452,4122,HR1,10.49.0.104,443.0578680038452,48000,12,20,b815bb28,0,225664,48000,35910.135,7.465,2866.412,7.328,40.94444444444444,16.891111111111105,9.765625145519152e-05,4.999999873689376e-05,162945440.0,-0.0007794041,162945440.0,0.000129203,0.0005802774,1.3447219,0.0
-602794.2752686357,-2185251.7481666417,-1511195.8162542435,984.9512195121952,0,4000,False,52000,41,13,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-22-26,1684527746,40.632858991622925,483.69072699546814,4122,HR1,10.49.0.104,483.69072699546814,52000,13,20,b815bb28,0,245632,52000,35934.1,7.311,2874.471,7.224,40.63620689655172,16.900000000000002,4.882812572759576e-05,4.999999873689376e-05,285715420.0,-0.0005967052,285715420.0,3.002393e-05,0.0005374156,1.3624576,0.0
-602794.2752686357,-2185251.7481666417,-1511195.8162542435,984.9512195121952,0,4000,False,56000,41,14,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-23-14,1684527794,48.73095202445984,532.421679019928,4122,HR1,10.49.0.104,532.421679019928,56000,14,20,b815bb28,0,260864,56000,35964.619,6.978,2842.206,6.89,41.83,17.05857142857143,2.441406286379788e-05,4.999999873689376e-05,121353630.0,0.00010706869,121353630.0,0.00010133441,4.729803e-05,1.3657285,0.0
-552466.3482263021,-2185251.7481666417,-1362434.9557858915,989.7166666666667,19,4006,False,60006,60,15,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-24-08,1684527848,53.70000720024109,586.1216862201691,4122,HR1,10.49.0.104,586.1216862201691,60006,15,20,b815bb28,0,262784,60006,35681.651,6.679,2628.319,7.209,44.84605263157894,17.00263157894737,1.220703143189894e-05,4.999999873689376e-05,69653720.0,0.0068356325,69653720.0,0.00012883345,1.2240124e-05,1.367478,0.0
-552466.3482263021,-2185251.7481666417,-1362434.9557858917,989.7166666666667,0,4000,False,64006,60,16,2dcd34d4f71a4f9a8717755113320812,2023-05-19_16-24-52,1684527892,43.98534870147705,630.1070349216461,4122,HR1,10.49.0.104,630.1070349216461,64006,16,20,b815bb28,0,282368,64006,38358.481,6.498,2619.437,7.622,17.893650793650792,16.946031746031753,6.10351571594947e-06,4.999999873689376e-05,52988196.0,-0.0011284527,52988200.0,0.00061967986,0.0011021663,1.3563706,0.0
